product_id,name,category,price,description,rating,stock
101,Classic White Sneakers,Footwear,2499,Premium white sneakers with breathable mesh.,4.6,45
102,Slim Fit Denim Jeans,Bottoms,1899,High-quality slim fit jeans with perfect stretch.,4.4,32
103,Oversized Cotton Hoodie,Tops,1499,Ultra-soft oversized hoodie for casual style.,4.7,28
104,Leather Crossbody Bag,Accessories,3299,Elegant genuine leather crossbody bag.,4.8,15
105,High Waist Pleated Skirt,Bottoms,2199,Trendy high-waist pleated midi skirt.,4.3,22
106,Cashmere Wool Sweater,Tops,4499,Luxurious cashmere blend sweater.,4.9,18
107,Vintage Leather Jacket,Outerwear,8999,Timeless black leather jacket.,4.5,12
108,Athletic Running Shorts,Bottoms,999,Lightweight athletic shorts.,4.2,50
109,Silk Blend Blouse,Tops,2799,Elegant silk-blend blouse.,4.6,35
110,Wide Leg Tailored Trousers,Bottoms,3299,Sophisticated wide-leg trousers.,4.7,27
